year,month,SD_70,SL_70,SL_70_log10,fyear_CS,monthly_sunspots,std,observations,date,smoothed_sunspots,cycle,SD_70*10,proton_density,proton_temp,He4toprotons,proton_speed,PC1,PC2
2004,1,18.783606,604.10614,2.781113249824099,2004.042,60.6,5.2,491,2004-01-01,95.785,24,187.83605999999997,5.73121625544267,145224.21480406387,0.03472539912917271,546.3578374455733,1.116419266422084,0.11189888108824256
2004,2,16.32268,140.294952,2.1470420448132104,2004.124,74.6,6.0,479,2004-02-01,94.10499999999999,24,163.22679999999997,4.5258022181146025,117949.85767097966,0.03370406654343808,487.41201478743073,0.5445418515255671,0.15560144905412635
2004,3,15.554484,105.095268,2.021583162005849,2004.206,74.8,5.1,594,2004-03-01,91.75999999999999,24,155.54484,3.8750399334442593,125208.43427620632,0.030590682196339435,509.5671214642263,0.8326892323968377,0.0677688926942591
2004,4,16.113874,175.96109,2.245416643572608,2004.29,59.2,5.1,601,2004-04-01,88.18499999999999,24,161.13873999999998,5.504268476621418,87563.27888386123,0.03051221719457014,436.9495173453997,-0.1596872676947325,-0.033498026193068055
2004,5,15.192315,940.731628,2.9734657455290985,2004.373,72.8,5.7,614,2004-05-01,85.19833333333334,24,151.92315000000002,5.582662358642973,87542.93699515348,0.029379321486268175,441.6713408723748,-0.12818770889050263,-0.08456301535116278
2004,6,16.009544,422.398407,2.6257222716649267,2004.456,66.5,6.8,646,2004-06-01,82.85,24,160.09544000000002,4.693791666666667,101289.169375,0.03303520833333333,475.9534166666666,0.2958414546916097,0.14084671818099412
2004,7,16.292171,207.027557,2.3160281573240415,2004.54,83.8,8.8,709,2004-07-01,79.665,24,162.92171,3.6501810766721046,108288.74013050571,0.033532137030995106,494.0818760195759,0.5686903702258653,0.2369165505383763
2004,8,14.847111,240.728668,2.3815278128044493,2004.624,69.7,5.5,686,2004-08-01,77.07666666666667,24,148.47111,5.532363874345549,85493.40628272251,0.0310413612565445,428.67133507853407,-0.24164349453182332,-0.01525596858613004
2004,9,12.308228,290.1553035,2.441848220164474,2004.708,48.8,5.3,604,2004-09-01,74.54666666666667,24,123.08228,5.946158512720157,82325.61800391389,0.03519275929549902,434.86074363992174,-0.27888754907710767,0.15281612130084266
2004,10,10.965366,142.244385,2.153035131927245,2004.791,74.2,5.5,539,2004-10-01,72.21499999999999,24,109.65366,7.740757679180887,82445.02389078499,0.029811774744027304,405.97858361774746,-0.5970193934961734,-0.237947778464894
2004,11,14.149203,331.612366,2.520630717250455,2004.874,70.1,5.4,477,2004-11-01,69.19000000000001,24,141.49203,7.648815789473685,86789.85139318886,0.040183281733746135,486.47843653250777,-0.031139997513434468,0.29459482925583996
2004,12,15.30145,5092.134766,3.706899888963482,2004.958,28.9,3.4,442,2004-12-01,66.39,24,153.0145,7.288418711656441,91146.94156441718,0.040671932515337426,465.34157975460124,-0.11111176093581242,0.311344315217626
2005,1,15.280588,1149.591797,3.060543656195806,2005.042,48.1,4.6,536,2005-01-01,64.59833333333333,24,152.80588,5.656549763033175,132001.38246445497,0.037097630331753555,576.5380252764613,1.1970507774306762,0.280603866469507
2005,2,16.961006,123.840904,2.0928641135647434,2005.123,43.5,4.3,500,2005-02-01,62.166666666666664,24,169.61006,5.97357911908646,105206.41353996737,0.0319215334420881,497.75244698205546,0.38966606784917046,0.014556789186244232
2005,3,15.519976,201.046249,2.3032959747092687,2005.204,39.6,3.8,607,2005-03-01,59.403333333333336,24,155.19976,5.667485627836611,102628.2069591528,0.025991981845688353,495.43084720121027,0.39848936877267166,-0.223129743056417
2005,4,14.774834,343.164764,2.5355026883084286,2005.288,38.7,3.8,598,2005-04-01,56.33833333333334,24,147.74834,6.964935108153079,100391.25790349417,0.030762895174708815,455.80973377703833,-0.021725823683067465,-0.13478054825553407
2005,5,11.483076,499.3615115,2.647767320653952,2005.371,61.9,5.7,641,2005-05-01,53.84333333333334,24,114.83076,5.939455384615385,94166.14876923077,0.03887307692307692,487.82044615384615,0.1881068480201249,0.3400779225299273
2005,6,11.80451,162.675003,2.2113208234150123,2005.455,56.8,5.3,675,2005-06-01,51.43666666666666,24,118.0451,5.896821124361159,109521.18296422486,0.03340664395229983,464.7944122657581,0.2002191364886912,0.044546108458253186
2005,7,11.960047,219.489502,2.341413753131665,2005.538,62.4,6.1,678,2005-07-01,49.47,24,119.60047,7.354824959481361,98297.84376012966,0.04168573743922204,462.8273419773095,-0.07025228065252999,0.3331468144610009
2005,8,11.193135,197.171646,2.2948444619688058,2005.623,60.5,5.3,706,2005-08-01,47.313333333333325,24,111.93135,5.5004,104475.89147286821,0.037512558139534885,484.1582945736434,0.3008630736924653,0.2836863965440196
2005,9,13.444134,475.781158,2.6774072390071364,2005.707,37.2,4.5,691,2005-09-01,46.1,24,134.44134,6.577908424908425,95688.44230769231,0.029033882783882786,494.4910622710623,0.24142494419889157,-0.13701126777061914
2005,10,12.323778,288.357239,2.459930858532739,2005.79,13.2,3.4,534,2005-10-01,44.68,24,123.23778000000001,6.772245791245791,87601.06936026936,0.02906043771043771,431.81387205387205,-0.288409751349205,-0.1908795906969912
2005,11,11.937676,458.486969,2.6613269967741613,2005.874,27.5,4.1,499,2005-11-01,43.108333333333334,24,119.37675999999999,6.530469352014011,98295.19264448337,0.026295446584938702,459.98311733800347,0.04080258187111341,-0.2937031607499169
2005,12,13.165171,971.222412,2.9873186956583067,2005.958,59.3,3.9,419,2005-12-01,41.73833333333333,24,131.65171,5.601405458089669,107465.65692007798,0.028723391812865495,506.8819298245614,0.5178518316246513,-0.09756236651315414
2006,1,11.642399,413.740387,2.616727916339414,2006.042,20.9,3.4,511,2006-01-01,39.84666666666667,24,116.42398999999999,6.038183266932271,89347.50856573705,0.033378087649402394,447.71023904382474,-0.12182406922627788,0.06252982760241811
2006,2,10.039979500000001,114.9089625,2.060307381732935,2006.123,5.7,3.7,434,2006-02-01,37.718333333333334,24,100.39979500000001,7.044582392776523,88811.10383747179,0.025221218961625283,427.2145146726862,-0.31385189772710903,-0.3868985333147217
2006,3,10.754342,114.375519,2.0583330777702398,2006.204,17.3,4.2,502,2006-03-01,35.8,24,107.54342,7.021164556962026,88745.34746835443,0.029845569620253167,439.4639715189873,-0.2470301160851096,-0.16869913790344374
2006,4,12.125443,220.580521,2.3435671581688693,2006.288,50.3,5.1,550,2006-04-01,34.51166666666666,24,121.25443000000001,5.684174664107485,99924.45335892515,0.02244721689059501,462.4276583493282,0.15632323721652874,-0.40660868499085995
2006,5,10.874566,142.565704,2.154015062998691,2006.371,37.2,3.9,566,2006-05-01,32.95166666666667,24,108.74566,5.913149882903981,109836.38407494145,0.031089227166276347,484.49695550351294,0.34946648719280937,-0.041133415512031646
2006,6,10.535161,153.589813,2.186362411629072,2006.455,24.5,3.3,566,2006-06-01,31.68,24,105.35161000000001,5.006677824267783,127657.58786610879,0.035471129707112976,508.16089958158994,0.7363628052633416,0.1983681139512385
2006,7,9.832217,230.857819,2.3633445884000364,2006.538,22.2,2.4,628,2006-07-01,30.493333333333332,24,98.32217,6.104273195876289,95338.51288659793,0.029906701030927834,469.7365721649485,0.09867430962885422,-0.08824755704948094
2006,8,10.701659,143.217224,2.1559952514797303,2006.623,20.8,2.5,650,2006-08-01,29.505,24,107.01659,5.38177264957265,81607.88837606838,0.026103589743589742,453.07066666666674,-0.07516636269610107,-0.19143827413145262
2006,9,10.489,116.885666,2.067761255740172,2006.707,23.7,3.0,567,2006-09-01,28.281666666666663,24,104.89000000000001,6.937558419243986,79565.51718213058,0.022036941580756014,439.3913402061856,-0.2946353813585889,-0.4880651519656976
2006,10,8.3653635,116.9033625,2.067819973138495,2006.79,14.9,2.4,537,2006-10-01,27.044999999999998,24,83.65363500000001,5.328914389799635,98657.9344262295,0.023530054644808743,467.7815300546448,0.204869359130257,-0.32602537528550357
2006,11,10.402102,87.883675,1.9439082093642006,2006.874,35.7,3.5,444,2006-11-01,26.078333333333333,24,104.02102,5.483633744855966,88971.18230452675,0.024161111111111112,468.20288065843624,0.10085847259308248,-0.28665962425327796
2006,12,10.967064,126.002739,2.1003799857497616,2006.958,22.3,3.5,415,2006-12-01,24.913333333333334,24,109.67064,3.887559454191033,133475.9044834308,0.02908109161793372,561.7688109161794,1.2812576752933966,0.03121057108142104
2007,1,10.451326,132.722504,2.1229445666805917,2007.042,29.3,2.8,474,2007-01-01,23.91,24,104.51326,4.392997995991984,134888.49659318637,0.029141683366733468,544.0428657314629,1.1310191945194277,-0.02129854681462753
2007,2,9.77027,230.658539,2.362969536862936,2007.123,18.4,2.7,423,2007-02-01,22.605,24,97.7027,5.452293859649123,100678.54605263157,0.02580109649122807,475.42100877192985,0.25795805619625206,-0.23130840758978077
